"c","char","0","13345704679051884329","0","12491137745023758426","23172","2810824558098893345","2","25836842424075642793","42793"
"o","char","1","12491137745023758426","13345704679051884329","11241067680105480545","112839","3705923871607926545","6","37077910104181123256","23256"
"m","char","2","11241067680105480545","12491137745023758426","10346296083901819438","105645","159652138576788032","7","34078501509031058334","58334"
"p","char","3","10346296083901819438","11241067680105480545","14218615244020245283","22104","1270600867702610938","6","35805979008027545306","45306"
"a","char","4","14218615244020245283","10346296083901819438","4432613347753158360","83890","6585901487472558877","7","28997524675675223115","23115"
"n","char","5","4432613347753158360","14218615244020245283","5185934958591010695","54699","11796255512465233151","8","23837163550364414284","14284"
"y","char","6","5185934958591010695","4432613347753158360","17851984775423820008","80982","15694866473738550365","7","27470533081767988929","88929"
",","char","7","17851984775423820008","5185934958591010695","13315852967295074547","138105","7604754756306205725","3","36353772701309905238","5238"
"t","char","8","13315852967295074547","17851984775423820008","13391065527999563900","4129","2809137861162317662","2","44558903270718458353","58353"
"i","char","9","13391065527999563900","13315852967295074547","16396746285500280756","129732","2873831609545332020","9","43103664780794919080","19080"
"c","char","10","16396746285500280756","13391065527999563900","6420343329275338335","23172","9059985047123989180","6","36208155142775183009","83009"
"k","char","11","6420343329275338335","16396746285500280756","3465212659290377666","118105","14352652624348378250","1","26282302274065996701","96701"
"e","char","12","3465212659290377666","6420343329275338335","11708402123795810570","54385","12547469692096364095","8","21593958112361526559","26559"
"r","char","13","11708402123795810570","3465212659290377666","13307856668725154542","30714","4344812607053977980","2","28481471451811342900","42900"
",","char","14","13307856668725154542","11708402123795810570","6632198318816930536","138105","2781105366991728155","7","31648457111337895623","95623"
"e","char","15","6632198318816930536","13307856668725154542","12601079612324660257","54385","13996400950262241557","9","32541134599866745250","45250"
"x","char","16","12601079612324660257","6632198318816930536","2412282761014731297","64652","3519420849279852321","1","21645560692156322232","22232"
"c","char","17","2412282761014731297","12601079612324660257","9276864308276659985","23172","13784779426832899881","1","24290226681616051596","51596"
"h","char","18","9276864308276659985","2412282761014731297","8225382931107167281","95920","2200416708353300013","8","19914530000398558693","58693"
"a","char","19","8225382931107167281","9276864308276659985","4243701315274415646","83890","17010403154821979151","9","21745948554658242935","42935"
"n","char","20","4243701315274415646","8225382931107167281","5487646270958681029","54699","11877081171079244857","4","17956730517340264077","64077"
"g","char","21","5487646270958681029","4243701315274415646","1574729249180294268","98611","15140944219211619706","9","11306076835413390812","90812"
"e","char","22","1574729249180294268","5487646270958681029","5361068965563493012","54385","10082985972089859969","4","12423444485702468439","68439"
",","char","23","5361068965563493012","1574729249180294268","13237692258496014708","138105","15299060435843421793","4","20173490473239802056","2056"
"h","char","24","13237692258496014708","5361068965563493012","12844717611791855212","95920","2991167784167995464","3","31443478835851363070","63070"
"q","char","25","12844717611791855212","13237692258496014708","9006402018468554253","127140","3203997930364549444","3","35088811888756424321","24321"
" ","char","26","9006402018468554253","12844717611791855212","8776368910958122172","127598","16341965816101762031","2","30627488541218531680","31680"
"c","char","27","8776368910958122172","9006402018468554253","14437439785754037288","23172","16716399465020058036","4","32220210715180713588","13588"
"i","char","28","14437439785754037288","8776368910958122172","14189612253362204795","129732","6227193262525223264","4","37403420950074364383","64383"
"t","char","29","14189612253362204795","14437439785754037288","9189432258692162812","4129","6547346085661067222","7","37816484297808405012","5012"
"y","char","30","9189432258692162812","14189612253362204795","7083002113606830915","80982","16262518367324995366","8","30462046625661198370","98370"
",","char","31","7083002113606830915","9189432258692162812","11643759558826181668","138105","18193585216756791222","5","27916193931125175337","75337"
"s","char","32","11643759558826181668","7083002113606830915","17361062341081731729","135347","4585095540335489819","9","36087824013514744454","44454"
"o","char","33","17361062341081731729","11643759558826181668","13280482419077918006","112839","7987586448786148826","7","42285304318985831265","31265"
"u","char","34","13280482419077918006","17361062341081731729","15578947545995817210","5150","2772732878733958820","6","46220492306155467065","67065"
"r","char","35","15578947545995817210","13280482419077918006","6853460759689532149","30714","5045425737269125260","9","35712890724763267217","67217"
"c","char","36","6853460759689532149","15578947545995817210","5407102314482751198","23172","13919249338080276477","4","27839510620168100439","439"
"e","char","37","5407102314482751198","6853460759689532149","936613043020321183","54385","15365889752204010787","4","13197176117192604387","4387"
" ","char","38","936613043020321183","5407102314482751198","10885149685812960868","127598","10576982042354828413","2","17228865043316033308","33308"
"i","char","39","10885149685812960868","936613043020321183","7985362032701202116","129732","664466001803576108","1","19807124761534484322","84322"
"n","char","40","7985362032701202116","10885149685812960868","2071936526259751111","54699","17358788092438342883","9","20942448244773913988","13988"
"f","char","41","2071936526259751111","7985362032701202116","16006838102603995730","106548","9437159920195030911","9","26064136661564948840","48840"
"o","char","42","16006838102603995730","2071936526259751111","10137829424956359922","112839","4617543989652473113","7","28216604053820106924","6924"
"s","char","43","10137829424956359922","16006838102603995730","14060095699163886553","135347","1335237709057799117","5","40204763226724242046","42046"
"y","char","44","14060095699163886553","10137829424956359922","3945465455381268898","80982","6712623156055140355","9","28143390579501515273","15273"
"s","char","45","3945465455381268898","14060095699163886553","17605031699679257311","135347","12175026755601514141","8","35610592854224412601","12601"
" ","char","46","17605031699679257311","3945465455381268898","7593054292931052947","127598","7667055896530794301","3","29143551447991579079","79079"
"l","char","47","7593054292931052947","17605031699679257311","9852699908155938492","87186","17827652090969470605","8","35050785900766248616","48616"
"i","char","48","9852699908155938492","7593054292931052947","17635427522016303675","129732","1624862561969310708","9","35081181723103294958","94958"
"m","char","49","17635427522016303675","9852699908155938492","18399571813302052445","105645","7677201799509713178","1","45887699243474294706","94706"
"i","char","50","18399571813302052445","17635427522016303675","4340033404062217915","129732","7020848680383494933","1","40375032739380574191","74191"
"t","char","51","4340033404062217915","18399571813302052445","18270590146316978862","4129","11677161875624771862","9","41010195363681249053","49053"
"e","char","52","18270590146316978862","4340033404062217915","4011563373400967597","54385","7185868511738820947","9","26622186923780164250","64250"
"d","char","53","4011563373400967597","18270590146316978862","3265407626800171713","56064","12221808532402009377","5","25547561146518118051","18051"
",","char","54","3265407626800171713","4011563373400967597","1926654703793283091","138105","12927150995781383732","8","9203625703994422372","22372"
"i","char","55","1926654703793283091","3265407626800171713","17732404654885549796","129732","9550907238060309851","3","22924466985479004767","4767"
"n","char","56","17732404654885549796","1926654703793283091","6182148104414341018","54699","7503368254104339651","6","25841207463093173750","73750"
"f","char","57","6182148104414341018","17732404654885549796","7287453533019469735","106548","14698657691606278178","2","31202006292319360456","60456"
"y","char","58","7287453533019469735","6182148104414341018","8728545140076847798","80982","18092443879830006909","7","22198146777510658413","58413"
",","char","59","8728545140076847798","7287453533019469735","6773679662220672246","138105","16651351770236214851","4","22789678335316989807","89807"
"n","char","60","6773679662220672246","8728545140076847798","5777377293547330539","54699","13850689240188440273","4","21279602095844850408","50408"
"s","char","61","5777377293547330539","6773679662220672246","11828076586007677527","135347","14851226360700579028","9","24379133541775680167","80167"
"e","char","62","11828076586007677527","5777377293547330539","10559373153178703568","54385","4184615111222950314","4","28164827032733711802","11802"
"/","char","63","10559373153178703568","11828076586007677527","10697054218819797289","49688","917912261492208452","6","33084503958006178367","78367"
"b","char","64","10697054218819797289","10559373153178703568","12006455878958773209","30816","739975292031016645","9","33262883250957274166","74166"
"s","char","65","12006455878958773209","10697054218819797289","14869251167927583026","135347","4082787644628960486","7","37572761265706153419","53419"
"e","char","66","14869251167927583026","12006455878958773209","12023322069952349429","54385","5795368084909617871","7","38899029116838705774","5774"
",","char","67","12023322069952349429","14869251167927583026","18346181007797421904","138105","4101673156539955200","9","45238754245677354269","54269"
"b","char","68","18346181007797421904","12023322069952349429","4274150299866014294","30816","6966439521915934908","8","34643653377615785797","85797"
"e","char","69","4274150299866014294","18346181007797421904","15652081960832009289","54385","11918684828421329323","8","38272413268495445632","45632"
"n","char","70","15652081960832009289","4274150299866014294","3640516924639848562","54699","5116128913889146478","7","23566749185337872316","72316"
"g","char","71","3640516924639848562","15652081960832009289","11849327096786094586","98611","12444236747509944013","2","31141925982257952520","52520"
"a","char","72","11849327096786094586","3640516924639848562","11770672133568148771","83890","4199111389920602564","4","27260516154994091751","91751"
"l","char","73","11770672133568148771","11849327096786094586","14279245262201799472","87186","4426662711697475133","7","37899244492556042949","42949"
"u","char","74","14279245262201799472","11770672133568148771","18325390104035268513","5150","6349345743373447330","4","44375307499805216952","16952"
"r","char","75","18325390104035268513","14279245262201799472","6183472220950998562","30714","6946701873032660951","5","38788107587188066489","66489"
"u","char","76","6183472220950998562","18325390104035268513","2069902190069073731","5150","14692820612415872432","7","26578764515055341004","41004"
",","char","77","2069902190069073731","6183472220950998562","3081996206741802824","138105","9407664111179578294","1","11335370617761875109","75109"
"h","char","78","3081996206741802824","2069902190069073731","8188014556524520320","95920","13038495424420601460","4","13339912953335397051","97051"
"t","char","79","8188014556524520320","3081996206741802824","10402510099187305051","4129","17264217540164015149","1","21672520862453628138","28138"
"t","char","80","10402510099187305051","8188014556524520320","6250746536992172422","4129","1038742081777139190","9","24841271192703997859","97859"
"p","char","81","6250746536992172422","10402510099187305051","13952677532050554275","22104","14449910880185604178","2","30605934168230031694","31694"
"s","char","82","13952677532050554275","6250746536992172422","3485417409083899966","135347","6887877342306110108","9","23688841478126626601","26601"
":","char","83","3485417409083899966","13952677532050554275","2171477981178611930","103671","12567797321775280965","1","19609572922313066289","66289"
"/","char","84","2171477981178611930","3485417409083899966","4763361941190185525","49688","9229522711181094222","4","10420257331452697293","97293"
"/","char","85","4763361941190185525","2171477981178611930","15358784614428834856","49688","15865519356925523873","2","22293624536797632436","32436"
"e","char","86","15358784614428834856","4763361941190185525","14816504138230111608","54385","5409426247403261909","6","34938650693849132183","32183"
"n","char","87","14816504138230111608","15358784614428834856","7246853109492682883","54699","6028549387950174047","4","37422141862151629407","29407"
".","char","88","7246853109492682883","14816504138230111608","14983723504613233497","1908","18061272032574009467","1","37047080752336027863","27863"
"w","char","89","14983723504613233497","7246853109492682883","15303314581618535839","9453","5892846427161022520","2","37533891195724452274","52274"
"i","char","90","15303314581618535839","14983723504613233497","7394071539612137757","129732","5356805469636800727","7","37681109625843907017","7017"
"k","char","91","7394071539612137757","15303314581618535839","501174640739691525","118105","17918271895993947080","6","23198560761970365305","65305"
"i","char","92","501174640739691525","7394071539612137757","15482509581621129944","129732","11007921290308399437","6","23377755761972959424","59424"
"p","char","93","15482509581621129944","501174640739691525","2370202844165948694","22104","5254458137618662156","8","18353887066526769961","69961"
"e","char","94","2370202844165948694","15482509581621129944","18010941968698449100","54385","13750579642179745515","2","35863654394485527940","27940"
"d","char","95","18010941968698449100","2370202844165948694","2964938279284470306","56064","7477314526963474496","4","23346083092148867901","67901"
"i","char","96","2964938279284470306","18010941968698449100","16188068364582769741","129732","13191863675410902890","4","37163948612565689355","89355"
"a","char","97","16188068364582769741","2964938279284470306","1383752521552703762","83890","9120048531145028723","5","20536759165419943870","43870"
".","char","98","1383752521552703762","16188068364582769741","18428515038043064814","1908","10161081935443349994","3","36000335924178538430","38430"
"o","char","99","18428515038043064814","1383752521552703762","15932640436016547617","112839","7027943568451671717","3","35744907995612316011","16011"
"r","char","100","15932640436016547617","18428515038043064814","2078303284110102565","30714","4840074059805398871","6","36439458758169715157","15157"
"g","char","101","2078303284110102565","15932640436016547617","446231059556174149","98611","9430788764292675226","6","18457174779682824536","24536"
"/","char","102","446231059556174149","2078303284110102565","797540699012938397","49688","10954493109917002961","4","3322075042679215251","15251"
"w","char","103","797540699012938397","446231059556174149","6319865377302165826","9453","10747302519711562236","3","7563637135871278337","78337"
"i","char","104","6319865377302165826","797540699012938397","10429097881815945272","129732","14520684553552077834","7","17546503958131049583","49583"
"k","char","105","10429097881815945272","6319865377302165826","4664725866480025448","118105","1048460194577824493","4","21413689125598136730","36730"
"i","char","106","4664725866480025448","10429097881815945272","11663008092259946565","129732","16035935965918896672","5","26756831840555917363","17363"
"/","char","107","11663008092259946565","4664725866480025448","9808514488819054152","49688","4606106720353498577","8","26136248447559026320","26320"
"i","char","108","9808514488819054152","11663008092259946565","11478821564739091238","129732","1596999187672034048","5","32950344145818092035","92035"
"n","char","109","11478821564739091238","9808514488819054152","1407584906990582784","54699","106836092552825089","6","22694920960548728336","28336"
"f","char","110","1407584906990582784","11478821564739091238","17077114902253901498","106548","10214100984679381944","9","29963521373983575740","75740"
"o","char","111","17077114902253901498","1407584906990582784","8348669575249958262","112839","8271248014589970929","6","26833369384494442454","42454"
